yiddish,transliteration
אַפּאַראַטשיק,aparatshik
אַפּטייק,apteyk
אַפּטייקער,apteyker
אַפּיקורס,apikoyres
אָפּל,opl
אַפּעטיט,apetit
אָפּעראַציע,operatsye
אָפּערע,opere
אָפּערעטע,operete
אַפּריל,april
אַפּריקאָס,aprikos
אַפֿיקומן,afikoymen
אַפֿריקאַנער,afrikaner
אַפֿריקאַנערין,afrikanerin
אַקאָרדעאָן,akordeon
אָקופּאַציע,okupatsye
אָקטאָבער,oktober
אָקטאָפּוס,oktopus
אַקטאָר,aktor
אַקטיאָר,aktyor
אַקטיוויטעט,aktivitet
אַקטיוויסט,aktivist
אַקטריסע,aktrise
אַקס,aks
אָקס,oks
אַקסל,aksl
אָקעאַן,okean
אַקער,aker
אַקער־אײַזן,aker-ayzn
אַראַביש,arabish
אַראַבער,araber
אַראָמאַט,aromat
אַראַמיש,aramish
אַרבעט,arbet
אַרבעטער,arbeter
אַרבעס,arbes
אַרבעסזופּ,arbeszup
אַרגאָן,argon
אָרגאַן,organ
אָרגאַניזאַציע,organizatsye
אַרויסרייד,aroysreyd
אַרויסרעד,aroysred
אַרומנעם,arumnem
אָרון,orn
אָרון־קודש,orn-koydesh
אָרט,ort
אָרטאָגראַפֿיע,ortografye
אָרטאָדאָקס,ortodoks
אָרטאָדאָקסיע,ortodoksiye
אַרטיסט,artist
אַרטיסטקע,artistke
אַרטיקל,artikl
אַרטישאָק,artishok
אַרטעריע,arterye
אָריגינאַל,original
אַרכיוו,arkhiv
אַרכיטעקט,arkhitekt
אַרכיטעקטאָר,arkhitektor
אַרכעאָלאָגיע,arkheologye
אַרמיי,armey
אַרמעניש,armenish
אַרמענער,armener
אָרעווניק,orevnik
אָרעם,orem
אָרעמאַן,oreman
אַרץ,arts
אַרײַנפֿיר,araynfir
אַש,ash
אַשבוים,ashboym
אַשכּנזי,ashkenazi
אבֿר,eyver
אָדוֹן,adón
אֲדוֹנָי \ ,ăḏônāy
אוגערקע,ugerke
אויג,oyg
אויגאַנעס,oyganes
אויגוסט,oygust
אויגן־לעדל,oygn-ledl
אויגן־לעפּל,oygn-lepl
אויגנבליק,oygnblik
אויגנלעדל,oygnledl
אויגנלעפּל,oygnlepl
אויגענעס,oygenes
אויגעפּל,oygepl
אויוון,oyvn
אויטאָ,oyto
אויטאָביאָגראַפֿיע,oytobiografye
אויטאָמאָביל,oytomobil
אויטאָמאַט,oytomat
אויטאָנאָמיע,oytonomye
אויטאָר,oytor
אויסהערער,oysherer
אויסטער,oyster
אויסלייג,oysleyg
אויסשטעלונג,oysshtelung
אויער,oyer
אויפֿרוף,oyfruf
אויפֿשטאַנד,oyfshtand
אומברענג־לאַגער,umbreng-lager
אונגאַריש,ungarish
אונגער,unger
אונגעריש,ungerish
אונטערגאַנג,untergang
אונטערגרונט,untergrunt
אונטערמענטש,untermentsh
אונטערנעמונג,unternemung
אונטערשיד,untershid
אונטערשייד,untersheyd
אוניווערס,univers
אוניווערסיטעט,universitet
אופֿן,oyfn
אוֹצָר,otsár
אוקראַיִניש,ukrainish
אוקראַיִנער,ukrainer
אור־אייניקל,ur-eynikl
אור־באָבע,ur-bobe
אוראַנוס,uranus
אוראַניום,uranyum
אורעלטערן,ureltern
אוֹת,ot
אַחֲרוֹן,'akharón
אַחֲרָיוּת,akharayút
איבערזעצונג,iberzetsung
איבערזעצער,iberzetser
איבערמענטש,ibermentsh
אידיאָט,idyot
אידיליע,idilye
אידעאָלאָגיע,ideologye
אידענטיטעט,identitet
איטאַליענער,italyener
איי,ey
אייגנטום,eygntum
אייזל,eyzl
אייכנבוים,eykhnboym
אייל \ ,'ayál
אייניקל,eynikl
איינצאָל,eyntsol
אייעלע,eyele
אייר \ ,iyár
אייראָפּעיִש,eyropeish
אייראָפּעער,eyropeer
אייראָפּעערין,eyropeerin
אימאַם,imam
אימיגראַנט,imigrant
אימיגראַציע,imigratsye
אינגבער,ingber
אינד,ind
אינדזל,indzl
אינדיק,indik
אינהאַלט,inhalt
אינזל,inzl
אינזשעניר,inzhenir
אינזשעניריע,inzhenirye
אינזשענער,inzhener
אינזשענעריע,inzhenerye
אינטערנעט,internet
אינטערנעץ,internets
איניציאַטיוו,initsyativ
אינסטיטוט,institut
אינפֿיניטיוו,infinitiv
אינפֿלאַציע,inflatsye
איסאָמער,isomer
איסור \ ,isúr
איסלאַם,islam
איסלאַמיסט,islamist
איסלאַמער,islamer
אירלענדער,irlender
אירע,ire
אלול,elul
אֶלֶף,'élef
אלף־בית,alef-bét
אֱמוּנָה,emuná
אֲמוֹרָא,amora
אֱמֶת,emét
אֲפִיקוֹמָן,afikomán
אָרוֹן,arón
אֶתְרוֹג,etróg
אײַז,ayz
אײַזן,ayzn
אײַזנבאַן,ayznban
אײַזנגעשעפֿט,ayzngesheft
אײַזקרעם,ayzkrem
אײַראָפּלאַן,ayroplan
באָב,bob
באָבע,bobe
באַגאַזש,bagazh
באַגינען,baginen
באַגעגעניש,bagegenish
באַגער,bager
באַגריף,bagrif
באַגרעבער,bagreber
באָד,bod
באַדאַרף,badarf
באָדהיטל,bodhitl
באַדעקנס,badekns
באָדקאָסטום,bodkostum
באַדײַטונג,badaytung
באַהן,bahn
באַוועגונג,bavegung
באַזאַלט,bazalt
באַזוך,bazukh
באַזוכער,bazukher
באַטיושקע,batyushke
באָיאַרין,boyarin
באַל,bal
באַלאַגאַן,balagan
באַלאַד,balad
באַלאַדע,balade
באַלאַלײַקע,balalayke
באַלן,baln
באַלעבאָס,balebos
באַלעבאָסטע,baleboste
באַלעם,balem
באָלשעוויזם,bolshevizm
באָלשעוויסט,bolshevist
באָלשעוויק,bolshevik
באַן,ban
באַנאַנע,banane
באַנדזשאָ,bandzho
באַנק,bank
באַנקבעטל,bankbetl
באַנקיר,bankir
באַנקירער,bankirer
באַס,bas
באָסניאַק,bosnyak
באַסקעטבאָל,basketbol
באַפּטיסט,baptist
באַפֿעלקערונג,bafelkerung
באַפֿרײַונג,bafrayung
באַפֿרײַער,bafrayer
באַק,bak
באַקטעריאָלאָגיע,bakteryologye
באַר,bar
באַראָן,baron
באַרג,barg
באָרד,bord
באָרדער,border
באָרשט,borsht
באַשאַפֿונג,bashafung
באַשאַפֿער,bashafer
באַשלוס,bashlus
באַשעפֿער,bashefer
בבֿלי,bovli
בָּגַד,bagád
בַּדְחָן,badkhan
בהלה,behole
בְּהֵמָה,behemá
בובע,bube
בובעלע,bubele
בודהיזם,budhizm
בודהיסט,budhist
בוהיי,buhay
בוהײַ,buhay
בויגן,boygn
בויגן־שיסער,boygn-shiser
בויטשיק,boytshik
בויטשיקל,boytshikl
בויך,boykh
בויכרעדער,boykhreder
בוים,boym
בוך,bukh
בולבע,bulbe
בולגאַריש,bulgarish
בוקסיר,buksir
בּוֹר,bór
בורא,boyre
בורג \ ,bóreg
בוריק,burik
בָּחוּר,bakhúr
ביאָגראַפֿיע,byografye
ביאָכעמיע,byokhemye
ביאַלי,bialy
ביבליאָטעק,biblyotek
ביבליאָטעקער,biblyoteker
ביבליאָטעקעראין,biblyotekerin
ביבער,biber
ביוראָ,byuro
ביוראָקראַט,byurokrat
ביוראָקראַטיע,byurokratye
בִּיט,bit
בייגונג,beygung
בייגל \ ,béigel
בייגעלע,beygele
ביימל,beyml
ביין,beyn
ביכל,bikhl
ביכערקראָם,bikherkrom
בילד,bild
בילדונג,bildung
ביליאָן,bilyon
בילעט,bilet
בִּימָה,bîmâ
בימקום,bimkem
בֵּין,bein
בינטל,bintl
ביס,bis
ביסל,bisl
ביסקופּ,biskup
בֵּיצָה,betzá
ביציקל,bitsikl
ביציקלעט,bitsiklet
ביק,bik
ביקס,biks
ביר,bir
בירגער,birger
בישאָף,bishof
בֵּית,bēṯ
בית־דין,beyz-din
בית־עולם,beys-oylem
בְּכוֹר,b'khór
בְּכוֹרָה,b'khorá
בלאָז,bloz
בלאַט,blat
בלאָטע,blote
בלאָק,blok
בִּלְבּוּל,bilbúl
בַּלּוּט,balút
בלוטבאָד,blutbod
בלום,blum
בלומענטאָפּ,blumentop
בְּלִי,b'lí
בלינצע,blintse
בליץ,blits
בליצבריוו,blitsbriv
בליצבריוול,blitsbrivl
בליצפּאָסט,blitspost
בליצשלעסל,blitsshlesl
בלעטל,bletl
בלעך,blekh
בלעכער,blekher
בלײַ,blay
בלײַער,blayer
בִּמְקוֹם,bim'qóm
בָּנִים,baním
בעבל,bebl
בעזעם,bezem
בעכער,bekher
בעל־הבית,balebos
בעל־הביתטע,baleboste
בעל־מלאָכה,balmelokhe
בענטשליכט,bentshlikht
בענקל,benkl
בעסאַראַבער,besaraber
בעקישע,bekishe
בעקער,beker
בעקערײַ,bekeray
בעקעשע,bekeshe
בעריאָזע,beryoze
בעריליום,berilyum
בערעזע,bereze
בַּקָּשָׁה,bakashá
בראָדער,broder
בראָך,brokh
בראָנדז,brondz
בראָנפֿן,bronfn
בראָנקסער,bronkser
ברודער,bruder
ברודערשאַפֿט,brudershaft
ברויז,broyz
ברויט,broyt
ברויטניצע,broytnitse
ברונעט,brunet
ברונעם,brunem
ברוסט,brust
ברוסטקאַסטן,brustkastn
ברוקלינער,brukliner
בְּרִיאָה,b'ri'á
ברידערשאַפֿט,bridershaft
בריוו,briv
ברייט,breyt
ברייטל,breytl
ברילן,briln
בריק,brik
בריקל,brikl
ברירה \ ,b'rera
בְּרִית,brit
בְּרָכָה,b'rakhá
ברעג,breg
ברעט,bret
ברעטל,bretl
ברעם,brem
ברענהאָלץ,brenholts
ברײַ,bray
בשׂמים,besomem
בשׂר ודם,bosr vedom
בת־מלכּה,bas-malke
בַּת-קוֹל,bat-kol
בְּתוּלָה,betulá
בײַטש,baytsh
בײַכל,baykhl
בײַשפּיל,bayshpil
גאָב,gob
גאָון,goen
גאָט,got
גאָטעניו,gotenyu
גאַל,gal
גאַלאָן,galon
גאָלד,gold
גאָלדשמיד,goldshmid
גאַליציאַנער,galitsyaner
גאַליציאַנערין,galitsyanerin
גאָלמעסער,golmeser
גאָלמעסערל,golmeserl
גאָלקרעם,golkrem
גאָמבע,gombe
גאָמלקע,gomlke
גאָנדאָלע,gondole
גאַנדז,gandz
גאַנז,ganz
גאַס,gas
גאַסט,gast
גאָפּל,gopl
גאָפּל־לעפֿל,gopl-lefl
גאַרב,garb
גאַרבער,garber
גאַרבערײַ,garberay
גאָרטן,gortn
גאָרטשיצע,gortshitse
גאָרילע,gorile
גָּאוֹן,ga'ón
גבֿורה,gvure
גַּבַּאי,gabái
גבאיטע,gabete
גיבור \ ,gibór
גוואַלד,gvald
גוואַלט,gvalt
גוטמאַכונג,gutmakhung
גּוֹי,goi
גולאַג,gulag
גולאַש,gulash
גולם \ ,gólem
גומע,gume
גּוּף,guf
גּוֹרָל,gōrāl
גזלן,gazlen
גזשיווע,gzhive
גזשיווקע,gzhivke
גיבור \ ,gibór
גיטאַר,gitar
גיך,gikh
גִּימֶל,gímel
גימנאַזיע,gimnazye
גיפֿט,gift
גלאָבאַליזאַציע,globalizatsye
גלאָבוס,globus
גלאָז,gloz
גלאָק,glok
גלוסט,glust
גָּלוּת,galút
גַּלָּח,galákh
גליטש,glitsh
גליק,glik
גלײַכונג,glaykhung
גַּן,gan
גנבֿ,ganef
גנבֿה,gnéyve
געאָגראַפֿיע,geografye
געאָלאָג,geolog
געאָלאָגיע,geologye
געאָמעטריע,geometrye
געבוירן־טאָג,geboyrn-tog
געבוירנטאָג,geboyrntog
געבורטסטאָג,geburtstog
געבורצטאָג,geburtstog
געגנט,gegnt
געדאַנק,gedank
געדיכט,gedikht
געדערעם,gederem
געוואַלד,gevald
געוואַלט,gevalt
געוויין,geveyn
געוויכט,gevikht
געווינס,gevins
געווער,gever
געזאַנג,gezang
געזונט,gezunt
געזיכט,gezikht
געזעל,gezel
געזעלשאַפֿט,gezelshaft
געזעץ,gezets
געטאָ,geto
געטראַנק,getrank
געלט,gelt
גענדזל,gendzl
גענעטיק,genetik
גענעראַל,general
געסל,gesl
געסקע,geske
געסרחה,gesrokhe
געפֿיל,gefil
גערויש,geroysh
גערטל,gertl
גערטנער,gertner
גערטנערײַ,gertneray
גערמאַנעץ,germanets
גערשט,gersht
געשאַנק,geshank
געשוויר,geshvir
געשטאַלט,geshtalt
געשיכטע,geshikhte
געשמאַק,geshmak
געשעפֿט,gesheft
געשעפֿטסמאַן,gesheftsman
געשפּרעך,geshprekh
גראָבאײַזן,grobayzn
גראַגער,grager
גראָז,groz
גראַם,gram
גראַמאַטיק,gramatik
גראַניט,granit
גראַף,graf
גראַפֿיט,grafit
גראַפֿין,grafin
גראַפֿיניע,grafinye
גראָשן,groshn
גרוזיניש,gruzinish
גרוזינער,gruziner
גרויל,groyl
גרויסקייט,groyskeyt
גרונט,grunt
גרופּע,grupe
גריבענעס,gribenes
גריווע,grive
גריווקע,grivke
גרייפּפֿרוט,greypfrut
גרייפּפֿרוכט,greypfrukht
גריך,grikh
גריכיש,grikhish
גרינדער,grinder
גרינס,grins
גריף,grif
גרעבער,greber
גרעט,gret
גרענעץ,grenets
גרײַז,grayz
גַּשְׁמִיּוּת,gashmiút
גײַסט,gayst
דאַטע,date
דאַטשע,datshe
דאַך,dakh
דאָלאַר,dolar
דאַמקע,damke
דאָנערשטיק,donershtik
דאַנקבאַרקייט,dankbarkeyt
דאָקומענט,dokument
דאָקטאָר,doktor
דאָקטער,dokter
דאָקטערײַ,dokteray
דאַקס,daks
דאָרף,dorf
דאָרפֿמאַן,dorfman
דאָרשט,dorsht
דוואָריאַנין,dvoryanin
דוואָרעץ,dvorets
דּוֹר,dor
דזשאַז,dzhaz
דזשוכע,dzhukhe
דזשיראַף,dzhiraf
דזשעז,dzshez
דזשעיל,dzheyl
דיאַדעמע,dyademe
דיאַלעקט,dyalekt
דיאַלעקטאָלאָגיע,dyalektologye
דיבוק,dibek
דיווידענד,dividend
דיין \ ,dayán
דיך,dikh
דיכטונג,dikhtung
דיכטער,dikhter
דיל,dil
דימענט,diment
דינאָזאַווער,dinozaver
דינאַסטיע,dinastye
דיניע,dinye
דינסט,dinst
דינסטאָג,dinstog
דינסטיק,dinstik
דינסטמויד,dinstmoyd
דינקע,dinke
דיסקאָטעק,diskotek
דיסקרימינאַציע,diskriminatsye
דיקדוק,dikdek
דִּירָה,dira
דלאָניע,dlonye
דעלפֿין,delfin
דעמאָגראַפֿיע,demografye
דעמאָקראַציע,demokratsye
דעמב,demb
דעניש,denish
דענקער,denker
דעצעמבער,detsember
דעקלאַראַציע,deklaratsye
דעקלינאַציע,deklinatsye
דערנערונג,dernerung
דערפֿל,derfl
דערקלערונג,derklerung
דראַמאַטורג,dramaturg
דראַמאַטורגיע,dramaturgye
דראַמע,drame
דראַקאָן,drakon
דָּרוֹם,daróm
דרוקער,druker
דרוקערײַ,drukeray
דריטל,dritl
דריידל,dreydl
דרעק,drek
דרײַסיקסטל,draysikstl
דרײַעק,drayek
דרײַצנטל,draytsntl
דײַטש,daytsh
דײַטשמעריזם,daytshmerizm
האָב,hob
האַביכט,habikht
האָבער,hober
האָבערין,hoberin
האַוון,havn
האָז,hoz
האָטעל,hotel
האַלדז,haldz
האָלעפּצעס,holeptses
האָלץ,holts
האָמאָסעקסואַלוטעט,homoseksualutet
האַמער,hamer
האָן,hon
האַנדלער,handler
האַנט,hant
האַנטבוך,hantbukh
האַנטפֿלאַך,hantflakh
האָניק,honik
האָניקטייגל,honikteygl
האַס,has
האָפֿענונג,hofenung
האַק,hak
האַקפֿלייש,hakfleysh
האָר,hor
האַרבסט,harbst
האָרן,horn
האָרע,hore
האַרף,harf
האַרפֿע,harfe
האַרץ,harts
הָאָרֶץ,ha'árets
הבֿדלה,havdole
הוט,hut
הויז,hoyz
הויזן,hoyzn
הויט,hoyt
הויכדײַטש,hoykhdaytsh
הויפּטל,hoyptl
הויפּטשטאָט,hoyptshtot
הוליגאַן,huligan
הומאָר,humor
הומאָריסט,humorist
הוֹן,hon
הונגער,hunger
הונדערטסטל,hundertstl
הונט,hunt
הוֹרֶה,horé
הידראָגען,hidrogen
היטל,hitl
היי,hey
הייבמוטער,heybmuter
הייוון,heyvn
הייך,heykh
הייל,heyl
היים,heym
היימאַרבעט,heymarbet
היימלאַנד,heymland
היימשטאָט,heymshtot
הייראַט,heyrat
היישעריק,heysherik
הילף,hilf
הילפֿסווערב,hilfsverb
הימל,himl
הימנע,himne
הינדל,hindl
הינטעלע,hintele
הינטערגעסל,hintergesl
היסטאָריע,historye
הירזש,hirzh
הירש,hirsh
הֲלָכָה,halakhá
המן־טאַש,homen-tash
המן־טאַשן,homen-tashn
העברעיש,hebreish
העברעיִש,hebreish
העלד,held
העלדזל,heldzl
העלדין,heldin
העליום,helyum
העלפֿאַנד,helfand
העלפֿאַנט,helfant
העלפֿט,helft
העלפֿער,helfer
העלפֿערין,helferin
העמד,hemd
הענדלער,hendler
הענטשקע,hentshke
העפֿט,heft
העקל,hekl
הער,her
הָעֶרֶב,ha'érev
הערינג,hering
הערצאָג,hertsog
הפֿטרה,haftore
הַצְלָחָה,hatzlakhá
הַקְדָּמָה,hakdamá
הרבֿ,horov
הריגה,harige
השׂכּלה,haskole
הײַזל,hayzl
הײַזקע,hayzke
הײַסקול,hayskul
הײַפֿיש,hayfish
ה׳‎,H.
וואָג,vog
וואַגאָן,vagon
וואַגינע,vagine
וואָגן,vogn
וואָיעוואָדע,voyevode
וואַך,vakh
וואָך,vokh
וואַכנאַכט,vakhnakht
וואָכנבלאַט,vokhnblat
וואַלד,vald
וואָלף,volf
וואַלפֿיש,valfish
וואָלקן,volkn
וואַמפּיר,vampir
וואַנט,vant
וואַנילע,vanile
וואַנע,vane
וואַנץ,vants
וואָנצעס,vontses
וואַסער,vaser
וואַסערשטאָף,vasershtof
וואָפֿן,vofn
וואַקאַציע,vakatsye
וואַקוּום,vakuum
וואָר,vor
וואָרט,vort
וואַרנישקעס,varnishkes
וואָרעם,vorem
וואַרעמקייט,varemkeyt
וואָרצל,vortsl
וואַרשעווער,varshever
וואַשצימער,vashtsimer
וואסער,vaser
וווּנד,vund
וווּנדער,vunder
וווּרשט,vursht
וווּרשטל,vurshtl
וווינונג,voynung
וווינצימער,voyntsimer
וויאָלע,vyole
וויאָסלע,vyosle
וויאָרסט,vyorst
וויג,vig
וויגל,vigl
וויגליד,viglid
וויגעלע,vigele
ווידער,vider
ווידערגוטמאַכונג,vidergutmakhung
וויזע,vize
וויי,vey
וויידל,veydl
וויין,vayn
ווייץ,veyts
ווינדל,vindl
ווינט,vint
ווינטער,vinter
ווינטערצײַט,vintertsayt
וויסן,visn
וויסנשאַפֿט,visnshaft
וויסנשאַפֿטלער,visnshaftler
וויסקיי,viskey
וויִע,vie
וויץ,vits
ווירוס,virus
וועב,veb
וועבזײַטל,vebzaytl
וועג,veg
וועגעטאַריער,vegetaryer
וועט,vet
וועט־זײַט,vet-zayt
וועטער,veter
וועלאָסיפּעד,velosiped
וועלט,velt
וועלט־מלחמה,velt-milkhome
וועלטייל,velteyl
וועלטסווערטל,veltsvertl
וועלטסמענטש,veltsmentsh
ווענגער,venger
ווענוס,venus
וועסלע,vesle
ווערב,verb
ווערבע,verbe
ווערט,vert
ווערטל,vertl
ווערטעלע,vertele
ווערטערבוך,verterbukh
ווערטערקלאַס,verterklas
ווערסט,verst
ווערק,verk
וועש,vesh
וועשער,vesher
וועשערין,vesherin
ווײַב,vayb
ווײַבל,vaybl
ווײַבערשול,vaybershul
ווײַלע,vayle
ווײַן,vayn
ווײַנגאָרטן,vayngortn
ווײַנטרויב,vayntroyb
ווײַנשל,vaynshl
ווײַנשלבוים,vaynshlboym
ווײַספֿיש,vaysfish
ווײַסרוסיש,vaysrusish
זאָאָלאָגיע,zoologye
זאָגער,zoger
זאָגערין,zogerin
זאָגערקע,zogerke
זאַווערוכע,zaverukhe
זאָטל,zotl
זאָטלער,zotler
זאַך,zakh
זאַלב,zalb
זאַלץ,zalts
זאַמד,zamd
זאַמלבוך,zamlbukh
זאַמלער,zamler
זאַנג,zang
זאַפֿט,zaft
זאַק,zak
זאָק,zok
זאָרג,zorg
זויגלינג,zoygling
זויגער,zoyger
זוימען,zoymen
זויערקרויט,zoyerkroyt
זולו,zulu
זומער,zumer
זומער־פֿייגעלע,zumer-feygele
זומערצײַט,zumertsayt
זומערקורס,zumerkurs
זון,zun
זון־אונטערגאַנג,zun-untergang
זונאויפֿגאַנג,zunoyfgang
זוֹנָה,zoná
זונטיק,zuntik
זונפֿאַרגאַנג,zunfargang
זופּ,zup
זוקיני,zukini
זיבעטל,zibetl
זיבעציקסטל,zibetsikstl
זיבעצנטל,zibetsntl
זיווג,ziveg
זייגער,zeyger
זייגערל,zeygerl
זיידע,zeyde
זייף,zeyf
זילבער,zilber
זין,záyin
זינגליד,zinglid
זינגער,zinger
זינגערין,zingerin
זינגערקע,zingerke
זינד,zind
זיסקײַט,ziskayt
זיצטרין,zitstrin
זיצפֿלייש,zitsfleysh
זיקאָרן,zikorn
זכּרון,zikorn
זלאָטע,zlote
זמרל,zemerl
זעברע,zebre
זעג,zeg
זעכציקסטל,zekhtsikstl
זעכצנטל,zekhtsntl
זעלנער,zelner
זעלצערוואַסער,zeltservaser
זענעפֿט,zeneft
זעקל,zekl
זעקסטל,zekstl
זְקַן,zəqan
זשאַבע,zhabe
זשאַרגאָן,zhargon
זשוק,zhuk
זשורנאַל,zhurnal
זשורנאַליזם,zhurnalizm
זשורנאַליסט,zhurnalist
זשורנאַליסטיק,zhurnalistik
זשיד,zhid
זשיוועצע,zhivetse
זשמעניע,zhmenye
זײַד,zayd
זײַט,zayt
חבֿר,khaver
חבֿרה,khevre
חבֿרה־מאַן,khevreman
חבֿרהשאַפֿט,khevreshaft
חבֿרותא,"khavruse, khevruse"
חבֿרטע,khaverte
חבֿרשאַפֿט,khavershaft
חודש \ ,khódesh
חופּה,khupe
חוצפּה,khutspe
חורבן \ ,khurbán
חושך \ ,khóshekh
חֲזִיר,khazír
חזירײַ,khazeray
חַזָּן,khazán
חָזָ״ל,khazál
חידוש \ ,khidúsh
חייה \ חַיָּה,khayá
חייל \ ,khayál
חַיִּים,khayím
חילוק,khilek
חינוך \ ,khinúkh
חִירִיק,khirík
חָכְמָה,khokhmá
חַלָּה,khalá
חֲלוֹם,khalóm
חֵן,chén
חנוכּה,khaneke
חָסִיד,khasid
חסידות,khasidút
חסידיזם,khsidizm
חסידל,khosidl
חִסָּרוֹן,khisarón
חפֿץ,kheyfets
חרוסת \ ,kharóset
חֵרֶם,ḥērem
חֶשְׁבּוֹן,kheshbón
חשוון \ ,kheshván
חֵשֶׁק,kheshék
חתונה \ ,khatuná
חֲתִימָה,khatima
חָתָן,khatán
טאַבאַק,tabak
טאָג,tog
טאָג־בוך,tog-bukh
טאָגבלאַט,togblat
טאָגצײַטונג,togtsaytung
טאָגשול,togshul
טאָוול,tovl
טאַטויִרונג,tatuirung
טאַטע,tate
טאָכטער,tokhter
טאָל,tol
טאָמאַט,tomat
טאַנטע,tante
טאַנץ,tants
טאָפּ,top
טאָפּאָגראַפֿיע,topografye
טאָפּיעל,topyel
טאָק,tok
טאַקטיק,taktik
טאַקסי,taksi
טאַראַקאַן,tarakan
טאַש,tash
טאַשנגעלט,tashngelt
טבֿע,teve 
טבֿת,teyves
טויב,toyb
טויזנט,toyznt
טויזנטסטל,toyzntstl
טויט,toyt
טוך,tukh
טומל,tuml
טומלער,tumler
טונפֿיש,tunfish
טורמע,turme
טורעם,turem
טיגער,tiger
טיי,tey
טייג,teyg
טייגל,teygl
טייטל,teytl
טייטלבוים,teytlboym
טייל \ ,tiyél
טיכל,tikhl
טינט,tint
טינטפֿיש,tintfish
טיפֿלע,tifle
טיר,tir
טיש,tish
טַלִּית,talit
טעאַטער,teater
טעאָלאָגיע,teologye
טעאָריע,teorye
טָעוּת,ta'út
טעכנאָלאָגיע,tekhnologye
טעכניק,tekhnik
טעכניקער,tekhniker
טעלעגראַם,telegram
טעלעגראַמע,telegrame
טעלעגראַף,telegraf
טעלעוויזאָר,televizor
טעלעוויזיע,televizye
טעלעסקאָפּ,teleskop
טעלעפֿאָן,telefon
טעלער,teler
טעם,ta'am
טעמע,teme
טעמפּל,templ
טענענבוים,tenenboym
טענצל,tentsl
טענצער,tentser
טעפּער,teper
טעקל,tekl
טעריטאָריע,teritorye
טערמאָמעטער,termometer
טערק,terk
טערקלטויב,terkltoyb
טראָטואַר,trotuar
טראַכט,trakht
טראַף,traf
טראָפּ,trop
טראָפֿיי,trofey
טראָצקיזם,trotskizm
טראָצקיסט,trotskist
טראַקטאָר,traktor
טרויב,troyb
טרוים,troym
טרומייט,trumeyt
טרומפּייט,trumpeyt
טרופּע,trupe
טרייסט,treyst
טרילאָגיע,trilogye
טרעגער,treger
טרער,trer
טשאַטשקע,tshatshke
טשאָלנט,tsholnt
טשאַרדאַש,tshardash
טשיקאַוועס,tshikaves
טשעך,tshekh
טשעכיש,tshekhish
טשעמאָדאַן,tshemodan
טשעקיסט,tshekist
טשערנאָבל,tshernobl
טשערעפּאַכע,tsherepakhe
טשײַניק,tshaynik
טײַוול,tayvl
טײַוועלע,tayvele
טײַטש,taytsh
טײַך,taykh
טײַסטער,tayster
יאָג,yog
יאַגדע,yagde
